,señal_suavizada,frecuencia,amplitude_rms,freq_media,freq_mediana
10,"[ 14.53845222  29.59764708  44.28427936  58.59834905  72.53985615
  86.10880066  99.30518258 112.12900192 124.58025867 136.65895283
 148.3650844  159.69865339 170.65965978 181.24810359 191.46398481
 201.30730345 210.77805949 219.87625295 228.60188382 236.9549521
 244.9354578  252.5434009  259.77878142 266.64159935 273.13185469
 279.24954745 284.99467761 290.36724519 295.36725018 300.54692708
 304.2495724  308.13188963 314.28074451 314.07268985 316.96260129
 319.00597145 320.76933977 321.0709237  324.64773573 325.23152706
 325.77059297 327.17000532 329.17476736 330.37553623 332.9511023
 333.54048204 332.77366482 329.77514147 329.01638512 331.17214634
 331.10260083 333.20436323 332.19961764 329.44083701 331.0198874
 329.69246365 327.1460573  327.47977727 328.35568145 328.67175925
 320.54440325 321.35914423 322.26273739 321.49452554 322.20490312
 324.55617661 328.9520952  334.03469183 340.39011248 353.07433862
 361.22889001 366.53553409 366.86919479 369.33648941 369.65352313
 369.06632565 370.52686681 373.29992393 371.96252648 375.22043413
 374.78133575 371.47564715 365.50307505 362.81764349 363.16325339
 363.0049649  361.29096287 363.13609842 363.02313717 364.49324054
 362.00300218 355.34453988 350.04333324 346.64709775 344.23166055
 345.95916458 347.96610816 345.62726073 345.13802524 343.85099357]",79.0,306.6229076799566,16632.974040478162,16391.282606006298
11,"[ 27.28146641  41.84433439  56.05295797  69.90733717  83.40747198
  96.5533624  109.34500842 121.78241006 133.86556731 145.59448016
 156.96914863 167.98957271 178.6557524  188.9676877  198.92537861
 208.52882513 217.77802725 226.67298499 235.21369834 243.4001673
 251.23239187 258.71037205 265.83410784 272.60359924 279.01884625
 285.07984887 290.7866071  296.13912095 301.1373904  306.33701078
 310.07119613 314.00673241 320.85954474 322.84526595 325.71696234
 325.71972893 325.74210445 328.71729683 330.89859727 331.69950449
 330.51336888 332.6283942  332.69469786 332.75777704 335.02985298
 333.28214837 330.77443688 331.16009422 330.75814654 329.47914581
 331.95822092 333.81628529 333.13270155 331.89536777 330.44126496
 327.47267728 327.18485803 324.55725654 325.26782525 326.97942168
 327.63413661 327.10075274 328.29459675 326.81905456 327.85056278
 328.22486161 333.5635848  334.21896082 340.16053487 349.15423583
 354.34737197 352.48965699 351.57014615 352.63073402 348.89733937
 346.0900704  350.87146453 352.65110229 352.43813531 353.34823995
 353.71072455 347.36984874 340.39083853 336.86007078 335.69429482
 333.07521827 333.21060854 334.26861324 335.29338573 334.10797054
 330.63428459 328.04782166 321.905254   316.26550491 315.27641313
 315.53434134 313.02556559 313.71896902 315.21980317 313.47683956]",70.0,300.5657393022916,16061.893557959635,16371.194595178269
12,"[  7.37365613  23.75871994  39.72812351  55.28186681  70.41994986
  85.14237265  99.44913518 113.34023746 126.81567948 139.87546124
 152.51958274 164.74804399 176.56084498 187.95798571 198.93946619
 209.50528641 219.65544637 229.38994607 238.70878552 247.61196471
 256.09948364 264.17134231 271.82754073 279.06807889 285.8929568
 292.30217444 298.29573183 303.87362896 309.03586583 314.34653842
 318.11335881 322.02861491 329.47844078 334.22927496 332.98119757
 334.53659605 335.82341893 334.91808717 336.22055312 336.17718073
 337.62105715 337.99288475 336.0013519  336.56336625 336.59502702
 337.52306659 337.8785665  335.89018243 334.15686411 335.74156311
 335.63867062 333.5110724  334.18330299 334.7308425  333.15583859
 333.7718446  332.26985422 329.76451285 325.69653174 320.8962249
 320.98393284 316.73268128 307.96790439 305.71868159 305.76521166
 307.5583713  305.18421889 306.60972781 309.80009365 316.78772485
 318.55232189 319.71853069 318.03023227 318.42807054 317.10368053
 315.56514392 316.06787311 319.66600177 324.23415107 324.90493267
 321.52821966 317.08186033 312.13770714 310.07500805 310.86683577
 311.91919704 312.27863352 313.09369093 309.45939032 312.69736302
 310.60070689 305.20363912 299.93926526 294.40162528 291.54593258
 284.25263447 279.8608729  278.59383689 278.73222053 279.04940401]",41.0,290.89391988142455,15270.33364300627,16616.63506165592
13,"[  4.38441142  22.70773004  40.55265444  57.91918463  74.8073206
  91.21706236 107.1484099  122.60136322 137.57592233 152.07208722
 166.0898579  179.62923436 192.6902166  205.27280463 217.37699845
 229.00279805 240.15020343 250.81921459 261.00983154 270.72205428
 279.9558828  288.7113171  296.98835719 304.78700306 312.10725471
 318.94911215 325.31257538 331.19764439 336.60431918 342.11499774
 345.98248612 349.95397826 356.54421588 356.04512467 353.69123458
 358.72853218 357.84862184 359.18666498 357.42998506 356.42854272
 359.1159715  361.20716342 359.84004069 360.15716656 360.14172305
 357.77975455 357.85232608 355.59242603 355.93060293 355.19081276
 354.45185788 354.022145   351.79553272 351.49036791 348.35005649
 344.17243973 341.30858335 340.89929539 345.0802865  341.06384395
 338.46712079 340.74830303 338.81816671 342.92812367 348.13727847
 346.20167088 347.15156808 359.05243085 370.78025564 384.39242021
 393.89815232 403.74087124 404.97555445 403.7530155  412.65898759
 418.20241311 420.44766517 428.67268806 434.52544113 436.68295287
 444.25719144 444.26290369 443.11247805 443.05372972 442.86388434
 451.24502994 455.25069865 460.45527128 466.38439113 468.19640784
 469.69819804 468.36215032 464.31676405 462.89901889 461.51342792
 462.30640486 465.7955685  466.38859275 464.73485978 467.16954781]",90.0,353.6361104364525,19457.37827757954,17563.471359497133
14,"[  2.76095762  20.66676706  38.09744863  55.05300232  71.53342812
  87.53872605 103.06889609 118.12393826 132.70385255 146.80863896
 160.43829749 173.59282813 186.2722309  198.47650579 210.2056528
 221.45967193 232.23856319 242.54232656 252.37096205 261.72446966
 270.6028494  279.00610125 286.93422522 294.38722132 301.36508953
 307.86782987 313.89544232 319.4479269  324.5252836  329.66938359
 333.25461335 336.90658641 342.51541442 345.47114003 346.87110557
 347.10927223 345.82693574 345.50587364 344.65260976 342.80625869
 340.92747018 336.75884262 338.73102612 337.06959459 333.03970243
 331.67750533 331.52899374 329.4340197  328.52008605 328.67645926
 331.73083976 328.63579274 326.90311103 326.75614844 323.37800017
 319.58207764 316.07335791 312.27025897 310.44805221 304.37503722
 301.70480944 299.58527535 299.932547   300.36155002 300.17976256
 302.82103278 308.26166987 309.22715272 313.80175888 318.8853079
 324.17810869 330.5981673  331.59844786 331.44381179 332.12751279
 329.5025144  334.09021522 334.68225597 334.62176549 328.27923604
 324.17427805 320.16887366 313.82970701 310.44370068 310.55039009
 308.1558348  307.62990783 308.25336942 311.83574385 313.48861986
 310.4003126  304.91179423 301.98056905 297.34163409 292.45005577
 290.94800734 290.89650519 283.18293265 281.70735605 281.45565099]",35.0,294.2246778671564,15377.401035638386,16345.84424599191
15,"[ 319.86052683  445.33977177  567.617518    686.69376551  802.5685143
  915.24176438 1024.71351573 1130.98376837 1234.05252229 1333.91977749
 1430.58553397 1524.04979174 1614.31255079 1701.37381112 1785.23357273
 1865.89183563 1943.3485998  2017.60386526 2088.657632   2156.50990002
 2221.16066933 2282.60993991 2340.85771178 2395.90398493 2447.74875937
 2496.39203508 2541.83381208 2584.07409036 2623.11286992 2663.20470549
 2691.58593289 2721.0202163  2753.23215256 2739.0130177  2723.26623772
 2688.14952457 2600.60791712 2575.11465044 2513.66090544 2492.33804906
 2528.54869683 2533.89857509 2612.60151958 2686.22209807 2781.03771415
 2831.40235813 2898.37837592 2967.88832214 3043.4597121  3112.35498546
 3175.41991536 3212.63911631 3272.07483292 3340.23740133 3410.22181625
 3440.51244992 3472.56065914 3537.69894947 3564.70253971 3589.70654922
 3636.08531419 3635.44408738 3691.96412941 3732.26508985 3783.47138561
 3815.24985582 3887.21486937 3922.66277553 3990.14135197 4073.25689703
 4178.64725711 4200.23963952 4187.15744296 4198.37208703 4199.33662004
 4207.45612064 4207.79496234 4152.44744133 4158.38300666 4130.57726326
 4077.07357495 4015.51901482 3917.04177641 3837.80107355 3782.3569519
 3693.07575617 3640.38469302 3534.45510892 3518.28524502 3452.86179061
 3370.29441039 3244.84788366 3106.27916334 2980.31968055 2881.60348305
 2770.70131284 2686.96141049 2576.1484214  2520.46433369 2528.4315456 ]",76.0,3019.704325627859,163868.19313210924,155638.1950275981
16,"[ 115.87550511  252.34948255  385.62669418  515.70713999  642.59081999
  766.27773417  886.76788254 1004.0612651  1118.15788185 1229.05773278
 1336.7608179  1441.2671372  1542.57669069 1640.68947837 1735.60550023
 1827.32475628 1915.84724652 2001.17297095 2083.30192956 2162.23412235
 2237.96954934 2310.50821051 2379.85010587 2445.99523541 2508.94359914
 2568.69519706 2625.25002916 2678.60809545 2728.76939593 2781.37972483
 2819.50169944 2860.07270248 2920.48446247 2923.47144701 2924.78268747
 2901.15185633 2886.10350409 2906.05254583 2917.32433459 2948.03927072
 2987.24066333 3028.90161023 3057.46766616 3134.58325498 3192.44444822
 3249.91621949 3280.81819774 3356.75409091 3398.07918318 3454.83779668
 3478.22142596 3511.82123872 3539.75380468 3554.08145268 3574.81837957
 3594.31867611 3594.46053556 3601.5497288  3614.89590682 3637.47966956
 3619.85952664 3589.69570691 3576.67720428 3564.58013932 3565.19348915
 3567.3028344  3586.40415956 3613.20860027 3684.31279168 3738.84623217
 3776.11834813 3791.85865996 3796.27653056 3766.75248986 3778.87454478
 3754.88175489 3743.32860677 3731.19939743 3740.19628915 3738.9677122
 3694.965994   3616.08862592 3505.05982443 3455.19393736 3426.36526731
 3376.1149078  3331.9213607  3318.85676088 3265.77521723 3238.70665983
 3173.57618414 3081.06977801 2965.16146719 2866.24201254 2792.97396452
 2736.30932648 2667.53101832 2677.89498286 2650.10894763 2654.7642093 ]",72.0,2977.966513360343,159989.03416320833,171599.0616675338
17,"[ 304.92393982  448.93991453  589.47170683  726.51931673  860.08274423
  990.16198932 1116.757052   1239.86793229 1359.49463016 1475.63714564
 1588.2954787  1697.46962937 1803.15959763 1905.36538348 2004.08698693
 2099.32440798 2191.07764662 2279.34670285 2364.13157668 2445.43226811
 2523.24877713 2597.58110375 2668.42924797 2735.79320978 2799.67298918
 2860.06858618 2916.98000078 2970.40723297 3020.35028275 3072.37152698
 3109.78383511 3149.27433769 3194.45409175 3181.49057577 3188.15286601
 3205.12105828 3179.75996158 3176.30380794 3193.15856844 3173.80266162
 3212.07446242 3256.25729119 3286.82781937 3359.89083257 3422.42860811
 3468.78067102 3492.51745854 3548.89642496 3615.44305826 3640.36821734
 3652.80151278 3680.6382104  3684.65888527 3692.36479039 3719.21025886
 3735.61592486 3723.40503962 3712.40457183 3689.89081503 3677.80333527
 3700.27454227 3690.65908573 3690.5942237  3668.50280376 3668.45730689
 3670.67747707 3682.27571504 3725.09059984 3773.928224   3839.7283685
 3878.71496682 3897.71510102 3919.7439381  3927.04868485 3918.69026003
 3920.19324221 3877.41230763 3877.15207313 3923.29206501 3879.01758243
 3809.37560884 3720.39844936 3612.96026253 3534.3428165  3493.67815539
 3465.11131483 3374.51557246 3350.48599113 3272.15215834 3226.11821901
 3187.45585386 3103.6286566  2979.02943079 2919.65279882 2854.17377052
 2816.99389928 2782.08516727 2749.03316908 2751.64834598 2711.77678182]",73.0,3134.1791140758746,166561.96048946294,180509.05914409825
18,"[ 302.48178896  460.3433605   614.01661752  763.50156002  908.798188
 1049.90650147 1186.82650042 1319.55818485 1448.10155476 1572.45661016
 1692.62335103 1808.60177739 1920.39188923 2027.99368656 2131.40716936
 2230.63233765 2325.66919141 2416.51773066 2503.1779554  2585.64986561
 2663.93346131 2738.02874248 2807.93570914 2873.65436129 2935.18469891
 2992.52672202 3045.6804306  3094.64582467 3139.42290422 3184.79077402
 3216.41211977 3248.62425577 3260.01743214 3253.34401452 3239.3954529
 3204.17796643 3226.8301503  3215.17585421 3240.30865457 3228.36018244
 3173.05052108 3181.73549704 3196.52110407 3230.94198481 3260.2061116
 3280.15591225 3320.13605816 3334.92637653 3377.27754582 3388.86018448
 3395.27879653 3440.69330296 3460.84763417 3455.8506988  3433.2162954
 3427.33245382 3380.94435837 3410.97235568 3395.6955191  3399.7818568
 3363.12347984 3317.39775869 3328.30923506 3360.94486908 3376.62233636
 3416.12744558 3419.81572413 3441.14090968 3494.3098983  3548.52128769
 3596.88630319 3639.81333502 3679.65510011 3696.829173   3740.49371025
 3754.22400185 3755.99295935 3724.75046497 3688.24745992 3695.14092477
 3668.13695824 3608.51256773 3515.66261879 3448.38614636 3375.10794151
 3324.32461983 3274.72640598 3246.56186392 3196.0487119  3127.74323391
 3090.68641612 2996.71030419 2944.62857695 2849.68101896 2783.63977873
 2770.73268563 2743.36808797 2696.80625923 2674.32620156 2616.72426659]",76.0,3035.308715186892,160041.42275179524,167909.04443295457
19,"[ 317.79228953  467.08176068  612.54378416  754.17835998  891.98548813
 1025.96516862 1156.11740144 1282.44218659 1404.93952408 1523.6094139
 1638.45185606 1749.46685055 1856.65439738 1960.01449654 2059.54714803
 2155.25235186 2247.13010802 2335.18041652 2419.40327735 2499.79869052
 2576.36665602 2649.10717385 2718.02024402 2783.10586653 2844.36404136
 2901.79476854 2955.39804804 3005.17387988 3051.12226406 3098.23920022
 3131.53668941 3166.00273059 3195.38638486 3205.58658017 3177.17379694
 3181.23642128 3185.48469067 3171.19483641 3169.86509564 3146.9520865
 3163.94975826 3161.07703475 3158.91600962 3199.69707178 3231.0319179
 3263.44069487 3302.48649799 3325.57531446 3343.58614522 3340.57799994
 3377.72638968 3393.77300856 3395.04976126 3403.69434761 3403.00955481
 3426.2816529  3448.17606978 3416.31838783 3400.44531783 3430.32059514
 3436.78696782 3442.19850941 3453.93811139 3498.46985478 3518.08344744
 3512.73439783 3530.82413781 3585.57919943 3653.55810546 3725.88666925
 3784.47726921 3826.57020653 3865.37150047 3891.74573777 3939.44291381
 3973.04905175 3958.93687364 3947.39132385 3942.09866918 3929.4174813
 3880.13423702 3809.3327434  3764.0916717  3720.82735688 3697.61849331
 3638.97296662 3583.91112707 3559.1139305  3540.73080125 3499.26771982
 3469.04574061 3371.60727533 3303.1464215  3244.87491847 3205.49878117
 3169.18461444 3119.27865611 3094.15902847 3048.56455115 3006.30617316]",75.0,3122.037195112033,167854.36260303398,166287.32074031516
